day,closing,alpha,f,yield
2020/8/26,3329.74,2.80E-11,-0.52038,-0.00568
2020/8/27,3350.11,0.777037,0.193809,0.002649
2020/8/28,3403.81,0.239096,-0.53086,0.006906
2020/8/31,3395.68,0.168158,-0.37,-0.00104
2020/9/1,3410.61,0.50619,-0.12942,0.001905
2020/9/2,3404.8,0.878639,-1.76166,-0.00074
2020/9/3,3384.98,0.446136,0.071313,-0.00254
2020/9/4,3355.37,2.08E-17,-0.02497,-0.00382
2020/9/7,3292.59,0.258126,-1.05214,-0.0082
2020/9/8,3316.42,3.39E-11,0.143063,0.003132
2020/9/9,3254.63,0.27991,0.076655,-0.00817
2020/9/10,3234.82,0.254766,-0.02388,-0.00265
2020/9/11,3260.35,0.748659,0.510793,0.003414
2020/9/14,3278.81,1.116743,-1.63459,0.002452
2020/9/15,3295.68,1.022492,-0.38672,0.002229
2020/9/16,3283.92,0.406648,0.352475,-0.00155
2020/9/17,3270.44,1.045552,-0.58569,-0.00179
2020/9/18,3338.09,8.21E-11,-0.33761,0.008892
2020/9/21,3316.94,5.18E-13,-0.2682,-0.00276
2020/9/22,3274.3,0.705331,0.080381,-0.00562
2020/9/23,3279.71,0.528538,-0.3537,0.000717
2020/9/24,3223.18,0.226903,-0.25093,-0.00755
2020/9/25,3219.42,0.81798,-1.32681,-0.00051
2020/9/28,3217.53,0.280659,0.176839,-0.00026
2020/9/29,3224.36,0.64752,0.051518,0.000921
2020/9/30,3218.05,7.64E-15,0.119025,-0.00085
2020/10/9,3272.08,1.89E-16,0.276286,0.007231
2020/10/12,3358.47,2.78E-12,0.164022,0.011318
2020/10/13,3359.75,0.636275,-0.6674,0.000165
2020/10/14,3340.78,1.11E-10,0.665511,-0.00246
2020/10/15,3332.18,1.512336,-0.60406,-0.00112
2020/10/16,3336.36,0.396094,-1.0695,0.000544
2020/10/19,3312.67,0.92859,-0.5479,-0.00309
2020/10/20,3328.1,0.593873,0.054664,0.002018
2020/10/21,3325.02,0.836665,0.01106,-0.0004
2020/10/22,3312.5,0.601505,-0.9914,-0.00164
2020/10/23,3278,0.684803,-0.67073,-0.00455
2020/10/26,3251.12,1.339646,-0.15998,-0.00358
2020/10/27,3254.32,2.97E-11,0.527294,0.000427
2020/10/28,3269.24,0.181714,0.040602,0.001987
2020/10/29,3272.73,0.501756,0.965042,0.000463
