,day,closing,alpha,f,yield,datetime
127,2019/7/16,2937.62,1.22674,-0.10554000000000001,-0.0006799999999999999,2019-07-16
128,2019/7/17,2931.69,0.497101,0.56284,-0.00088,2019-07-17
129,2019/7/18,2901.18,0.829399,-0.8240000000000001,-0.00454,2019-07-18
130,2019/7/19,2924.2,1.7299999999999998e-18,0.408418,0.003432,2019-07-19
131,2019/7/22,2886.97,5.9e-17,0.197125,-0.00556,2019-07-22
132,2019/7/23,2899.94,0.596881,0.181766,0.001947,2019-07-23
133,2019/7/24,2923.28,2.56e-12,-0.08665,0.003481,2019-07-24
134,2019/7/25,2937.36,5.83e-16,0.191111,0.0020870000000000003,2019-07-25
135,2019/7/26,2944.54,8.16e-15,0.675932,0.00106,2019-07-26
136,2019/7/29,2941.01,1.038073,-0.96857,-0.0005200000000000001,2019-07-29
137,2019/7/30,2952.34,0.965593,-0.43044,0.0016699999999999998,2019-07-30
138,2019/7/31,2932.51,2.36e-16,0.267081,-0.00293,2019-07-31
139,2019/8/1,2908.77,3.9299999999999996e-15,-0.0912,-0.0035299999999999997,2019-08-01
140,2019/8/2,2867.84,5.29e-17,0.765229,-0.00615,2019-08-02
141,2019/8/5,2821.5,0.668137,-0.62071,-0.00707,2019-08-05
142,2019/8/6,2777.56,0.977211,0.718454,-0.0068200000000000005,2019-08-06
143,2019/8/7,2768.68,1.050885,-0.64017,-0.00139,2019-08-07
144,2019/8/8,2794.55,2.8199999999999997e-12,1.047218,0.004039,2019-08-08
145,2019/8/9,2774.75,0.095046,-0.35928000000000004,-0.00309,2019-08-09
146,2019/8/12,2814.99,0.14488099999999998,0.906719,0.006253,2019-08-12
147,2019/8/13,2797.26,0.8933639999999999,-0.25841,-0.00274,2019-08-13
148,2019/8/14,2808.91,1.103651,-0.36391,0.001805,2019-08-14
149,2019/8/15,2815.8,0.337511,-0.25481,0.001064,2019-08-15
150,2019/8/16,2823.82,0.821304,-0.26328,0.001235,2019-08-16
151,2019/8/19,2883.1,0.139468,-0.49066000000000004,0.009023,2019-08-19
152,2019/8/20,2880.0,0.9208049999999999,-0.41893,-0.00047000000000000004,2019-08-20
153,2019/8/21,2880.33,1.8700000000000003e-12,1.3270440000000001,4.98e-05,2019-08-21
154,2019/8/22,2883.44,1.31e-11,-0.46674,0.000469,2019-08-22
155,2019/8/23,2897.43,1.861098,-1.15095,0.002102,2019-08-23
156,2019/8/26,2863.57,1.376451,-0.83094,-0.00511,2019-08-26
157,2019/8/27,2902.19,0.98508,-0.63385,0.005818,2019-08-27
158,2019/8/28,2893.76,0.726444,-0.02812,-0.00126,2019-08-28
159,2019/8/29,2890.92,0.180366,-0.18212,-0.00043,2019-08-29
160,2019/8/30,2886.24,0.277238,0.574034,-0.0007,2019-08-30
161,2019/9/2,2924.11,0.663415,0.434112,0.005661,2019-09-02
162,2019/9/3,2930.15,1.11e-16,0.195825,0.0008960000000000001,2019-09-03
163,2019/9/4,2957.41,8.759999999999999e-15,1.087264,0.0040219999999999995,2019-09-04
164,2019/9/5,2985.86,0.678068,0.565771,0.004158,2019-09-05
165,2019/9/6,2999.6,0.41501800000000005,-0.43763,0.001994,2019-09-06
166,2019/9/9,3024.74,0.875229,-0.3003,0.003625,2019-09-09
167,2019/9/10,3021.2,1.1487690000000002,-0.73819,-0.0005099999999999999,2019-09-10
168,2019/9/11,3008.81,1.069122,-0.8626,-0.0017800000000000001,2019-09-11
169,2019/9/12,3031.24,0.896797,-0.45357,0.0032259999999999997,2019-09-12
170,2019/9/16,3030.75,2.1399999999999997e-13,-0.08544,-7e-05,2019-09-16
171,2019/9/17,2978.12,1.147433,-0.71542,-0.00761,2019-09-17
172,2019/9/18,2985.66,0.9120219999999999,-0.94129,0.001098,2019-09-18
173,2019/9/19,2999.28,1.3166950000000002,-0.52482,0.001977,2019-09-19
174,2019/9/20,3006.45,0.304702,0.843153,0.001037,2019-09-20
175,2019/9/23,2977.08,1.26e-10,-0.18757000000000001,-0.00426,2019-09-23
